name,rank,net_worth,age,gender,country,state,city,category,self_made,title,source,position_change,cpi_country,cpi_change_country,gdp_country,gdp_change_country,gross_primary_enrlmt_country,gross_tertiary_enrlmt_country,life_expectancy_country,population_country,unemployment_rate_country,latitude_country,longitude_country
Dieter Schwarz,27,42900,83,M,Germany,NA,Neckarsulm,Fashion & Retail,FALSE,NA,Retail,D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
François Pinault & family,28,40100,86,M,France,NA,Paris,Fashion & Retail,TRUE,NA,Luxury goods,D,118.2582836,5.869362499999994,2796300000000,-170130000000,102.7205811,102.7205811,82.22926829,68065015,7.308,46.227638,2.213749
Klaus-Michael Kuehne,29,39100,85,M,Switzerland,NA,Schindellegi,Logistics,FALSE,NA,Shipping,U,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Giovanni Ferrero,30,38900,58,M,Belgium,NA,Brussels,Food & Beverage,FALSE,NA,"Nutella, chocolates",U,132.456219,11.599260700000002,593439000000,-5055000000,102.1769867,102.1769867,81.69756098,11680210,5.57,50.503887,4.469936
Jacqueline Mars,31,38300,83,F,United States,Virginia,The Plains,Food & Beverage,FALSE,NA,"Candy, pet food",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
John Mars,31,38300,87,M,United States,Wyoming,Jackson,Food & Beverage,FALSE,NA,"Candy, pet food",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Li Ka-shing,33,38000,94,M,Hong Kong,NA,NA,Diversified,TRUE,Senior Advisor,Diversified,U,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Ma Huateng,34,35300,51,M,China,NA,Shenzhen,Technology,TRUE,Chairman and CEO,Internet media,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Miriam Adelson & family,35,35000,77,F,United States,Nevada,Las Vegas,Gambling & Casinos,FALSE,NA,Casinos,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Ken Griffin,35,35000,54,M,United States,Florida,Miami,Finance & Investments,TRUE,Founder & CEO,Hedge funds,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Mark Mateschitz,37,34700,30,M,Austria,NA,Salzburg,Food & Beverage,FALSE,NA,Red Bull,N,133.5135657,10.51272209999999,471774000000,-8693000000,100.7756271,100.7756271,81.09268293,9041851,4.992,47.516231,14.550072
Robin Zeng,38,33400,54,M,China,NA,Ningde,Automotive,TRUE,NA,Batteries,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Tadashi Yanai & family,39,32600,74,M,Japan,NA,Tokyo,Fashion & Retail,TRUE,NA,Fashion retail,U,107.8396906,2.627878299999992,4256410000000,-778210000000,102.1587067,102.1587067,83.99634146,125124989,2.6,36.204824,138.252924
Len Blavatnik,40,32100,65,M,United Kingdom,NA,London,Diversified,TRUE,NA,"Music, chemicals",D,133.6600703,9.811355700000007,3114040000000,-29280000000,102.4061279,102.4061279,82.05853659,67791000,3.73,55.378051,-3.435973
Alain Wertheimer,41,31600,74,M,United States,New York,New York,Fashion & Retail,FALSE,NA,Chanel,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Gerard Wertheimer,41,31600,72,M,United States,New York,New York,Fashion & Retail,FALSE,NA,Chanel,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Gianluigi Aponte,43,31200,82,M,Switzerland,NA,Geneva,Logistics,TRUE,NA,Shipping,Split Family Fortune,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Rafaela Aponte-Diamant,43,31200,78,F,Switzerland,NA,Geneva,Logistics,TRUE,NA,Shipping,Split Family Fortune,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Colin Zheng Huang,45,30200,43,M,China,NA,Shanghai,Technology,TRUE,NA,E-commerce,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Reinhold Wuerth & family,46,29700,87,M,Germany,NA,Kuenzelsau,Manufacturing,TRUE,NA,Fasteners,U,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Lee Shau Kee,47,29500,95,M,Hong Kong,NA,Hong Kong,Real Estate,TRUE,NA,Real estate,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Jeff Yass,48,28500,64,M,United States,Pennsylvania,Haverford,Finance & Investments,TRUE,NA,"Trading, investments",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
